# PIMCID: 234567891
#   elem          X           Y        AREA           W
     312     121.18      86.960      102.09     0.62018    
     313     109.58      97.078      115.21     0.63497    
     314     103.88      107.02      102.90     0.62019    
     315     90.280      115.23      114.25     0.63497    
     316     83.299      123.69      103.91     0.62019    
     317     68.022      129.60      113.08     0.63497    
     318     60.096      136.46      105.11     0.62018    
     319     43.542      139.71      111.68     0.63495    
     320     35.004      144.91      106.52     0.62016    
     321     17.642      145.25      110.09     0.63492    
     322     8.8149      148.79      108.15     0.62012    
     323     8.8035     -157.01      107.87     0.57477    
     324     17.618     -153.51      109.64     0.59007    
     325     34.985     -153.34      106.44     0.57480    
     326     43.544     -148.28      111.08     0.59010    
     327     60.185     -145.33      105.16     0.57482    
     328     68.200     -138.70      112.33     0.59012    
     329     83.690     -133.21      104.05     0.57483    
     330     90.863     -125.06      113.41     0.59012    
     331     104.83     -117.32      103.12     0.57483    
     332     110.87     -107.74      114.30     0.59011    
     333     123.01     -98.109      102.35     0.57482    
     334     127.63     -87.265      115.02     0.59010    
     335     137.72     -76.121      101.75     0.57481    
     336     140.64     -64.229      115.56     0.59009    
     337     148.53     -51.977      101.33     0.57480    
     338     149.54     -39.307      115.92     0.59009    
     339     155.14     -26.362      101.07     0.57480    
     340     154.06     -13.232      116.10     0.59008    
     341     157.37      0.0000      100.98     0.57479    
     342     154.06      13.232      116.10     0.59009    
     343     155.14      26.362      101.07     0.57480    
     344     149.54      39.307      115.92     0.59009    
     345     148.53      51.977      101.33     0.57481    
     346     140.64      64.229      115.56     0.59010    
     347     137.72      76.121      101.75     0.57481    
     348     127.63      87.265      115.02     0.59011    
     349     123.01      98.109      102.35     0.57482    
     350     110.87      107.74      114.30     0.59011    
     351     104.83      117.32      103.12     0.57482    
     352     90.863      125.06      113.41     0.59011    
     353     83.690      133.21      104.05     0.57482    
     354     68.200      138.70      112.33     0.59010    
     355     60.185      145.33      105.16     0.57481    
     356     43.544      148.28      111.08     0.59009    
     357     34.985      153.34      106.44     0.57478    
     358     17.618      153.51      109.64     0.59005    
     359     8.8035      157.01      107.87     0.57475    
     360     8.7927     -165.21      107.66     0.52797    
     361     17.596     -161.76      109.24     0.54374    
     362     34.965     -161.73      106.35     0.52801    
     363     43.539     -156.80      110.54     0.54377    
     364     60.253     -154.12      105.19     0.52803    
     365     68.341     -147.71      111.67     0.54378    
     366     84.012     -142.59      104.17     0.52804    
     367     91.346     -134.72      112.67     0.54379    
     368     105.63     -127.42      103.31     0.52804    
     369     111.95     -118.18      113.52     0.54379    
     370     124.57     -109.01      102.59     0.52803    
     371     129.60     -98.517      114.20     0.54378    
     372     140.33     -87.809      102.00     0.52802    
     373     143.84     -76.257      114.73     0.54377    
     374     152.52     -64.371      101.57     0.52801    
     375     154.29     -51.984      115.12     0.54376    
     376     160.82     -39.292      101.28     0.52801    
     377     160.67     -26.340      115.35     0.54376    
     378     165.03     -13.210      101.14     0.52801    
     379     162.81      0.0000      115.43     0.54376    
     380     165.03      13.210      101.14     0.52801    
     381     160.67      26.340      115.35     0.54376    
     382     160.82      39.292      101.28     0.52801    
     383     154.29      51.984      115.12     0.54377    
     384     152.52      64.371      101.57     0.52802    
     385     143.84      76.257      114.73     0.54377    
     386     140.33      87.809      102.00     0.52803    
     387     129.60      98.517      114.20     0.54378    
     388     124.57      109.01      102.59     0.52803    
     389     111.95      118.18      113.52     0.54378    
     390     105.63      127.42      103.31     0.52803    
     391     91.346      134.72      112.67     0.54378    
     392     84.012      142.59      104.17     0.52803    
     393     68.341      147.71      111.67     0.54377    
     394     60.253      154.12      105.19     0.52801    
     395     43.539      156.80      110.54     0.54375    
     396     34.965      161.73      106.35     0.52799    
     397     17.596      161.76      109.24     0.54372    
     398     8.7927      165.21      107.66     0.52795    
     399     8.7824     -173.40      107.44     0.47990    
     400     17.575     -169.99      108.87     0.49607    
     401     34.944     -170.09      106.25     0.47994    
     402     43.530     -165.28      110.05     0.49611    
     403     60.304     -162.85      105.20     0.47996    
     404     68.453     -156.63      111.10     0.49613    
     405     84.278     -151.86      104.27     0.47997    
     406     91.749     -144.24      112.02     0.49613    
     407     106.31     -137.35      103.46     0.47997    
     408     112.86     -128.41      112.80     0.49613    
     409     125.89     -119.68      102.77     0.47997    
     410     131.29     -109.52      113.45     0.49612    
     411     142.57     -99.240      102.21     0.47996    
     412     146.58     -88.018      113.98     0.49611    
     413     155.96     -76.508      101.78     0.47995    
     414     158.39     -64.414      114.37     0.49611    
     415     165.76     -52.009      101.47     0.47994    
     416     166.42     -39.274      114.63     0.49610    
     417     171.72     -26.308      101.27     0.47994    
     418     170.48     -13.196      114.75     0.49610    
     419     173.73      0.0000      101.21     0.47994    
     420     170.48      13.196      114.75     0.49610    
     421     171.72      26.308      101.27     0.47995    
     422     166.42      39.274      114.63     0.49610    
     423     165.76      52.009      101.47     0.47995    
     424     158.39      64.414      114.37     0.49611    
     425     155.96      76.508      101.78     0.47996    
     426     146.58      88.018      113.98     0.49612    
     427     142.57      99.240      102.21     0.47996    
     428     131.29      109.52      113.45     0.49612    
     429     125.89      119.68      102.77     0.47996    
     430     112.86      128.41      112.80     0.49612    
     431     106.31      137.35      103.46     0.47996    
     432     91.749      144.24      112.02     0.49612    
